식당(ID),식당명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점,식당상태
134933,이태리부대찌개 전주효자점,전라북도 전주시,,0.1,Y,0.16,0.33,,,4.31,운영중
134938,연화면옥,전라북도 전주시,,0.08,Y,0.1,,,,3.81,운영중
134946,남노갈비서곡점,전라북도 전주시,안심식당,0.1,Y,0.1,0.33,,,4.45,운영중
134957,그옛날국수집,전라북도 전주시,,,Y,0.1,0.09,,,,운영중
134963,맘스터치 상산효자점,전라북도 전주시,,0.09,Y,0.1,0.1,,,4.24,운영중
134965,편백집 전주객사점,전라북도 전주시,,0.1,Y,0.12,0.33,,,4.35,운영중
134968,황태마루 본점,전라북도 전주시,,0.09,Y,0.1,0.12,,,4.1,운영중
5127,별란통갈비 앤 치킨,,,,N,0.07,,,,,미확인
135002,쉐누,전라북도 전주시,,0.09,Y,0.08,0.09,,,4.25,운영중
135003,뚜레쥬르 전주서곡점,전라북도 전주시,,0.09,Y,0.12,0.03,,,4.26,운영중
135022,족발야시장 아중점,전라북도 전주시,,0.09,Y,0.12,0.33,,,4.26,운영중
135028,부귀촌,전라북도 전주시,,0.1,Y,0.07,,,,4.31,운영중
135029,성수부페,전라북도 전주시,,0.1,Y,0.08,0.1,,,4.45,운영중
135033,삼사라,전라북도 전주시,,0.11,Y,0.14,0.33,,,4.74,운영중
135041,남원요천추어탕,전라북도 전주시,"모범음식점,안심식당",0.1,Y,0.25,0.09,,,4.28,운영중
135047,상록수회관,전라북도 전주시,,0.08,Y,0.23,0.13,,,3.56,운영중
136147,순자씨밥줘,,,,N,0.1,,,,0.62,미확인
138672,마포갈매기전북대점,,,,N,0.07,,,,,운영중
145398,주당공선생 신시가지점,,,,N,0.1,,,,,운영중
148259,임실치즈피자송천본점,,,,N,0.07,,,,,미확인
151787,성게향회관,,,,N,0.07,,,,,운영중
151936,민주커피,,,,N,0.09,,,,,폐업
152120,달밤,,,,N,0.15,,,,,폐업
155208,푼푼케이크,,,,N,0.09,,,,0.1,운영중
17323,김다임육쪽마늘빵,,,,N,0.04,,,,,미확인
155948,일등낙지,전라북도 전주시,,0.1,Y,0.08,0.33,,,4.32,운영중
155951,호남성중국요리,전라북도 전주시,,0.09,Y,0.09,0.03,,,3.98,운영중
155964,JRS참숯바베큐서곡점,전라북도 전주시,,0.1,Y,0.1,0.02,,,4.41,운영중
155972,울어매순대나라,전라북도 전주시,,0.09,Y,0.2,,,,4.05,운영중
155976,족발타령 삼천점,전라북도 전주시,,0.1,Y,0.08,0.1,,,4.31,운영중
155985,촌댁맥주 삼천2호점,전라북도 전주시,,0.09,Y,0.12,0.02,,,4.16,운영중
19674,익소,,,,N,0.07,,,,,폐업
156015,동경소바,전라북도 전주시,,0.1,Y,0.09,0.08,,,4.49,운영중
21162,미스터면장 전주점,,,,N,0.07,,,,,운영중
156018,깨순이김밥서곡제1호점,전라북도 전주시,,0.09,Y,0.23,,,,4.23,운영중
156022,60계치킨 삼천점,전라북도 전주시,,0.09,Y,0.1,0.12,,,4.23,운영중
156028,일심회관,전라북도 전주시,,0.1,Y,0.23,0.02,,,4.33,운영중
156031,전주성,전라북도 전주시,,,Y,0.13,0.03,,,4.4,운영중
